cyclomatic_complexity,cognitive_complexity,lines_of_code,comment_ratio,function_count,class_count,max_nesting_depth,avg_function_length,parameters_per_function,halstead_difficulty,halstead_effort,halstead_volume,maintainability_index,duplicate_ratio,coupling_score,import_count,has_error_handling,has_type_hints,test_coverage,has_bug
4,29,1715,0.085,30,10,3,81.3,3.6,48.94,376299.98,9181.76,70.92,0.263,12.0,18,1,1,22.0,1
26,3,228,0.109,6,0,3,71.9,2.5,45.84,28215.41,3755.53,73.54,0.459,11.1,11,0,0,47.5,1
42,40,1183,0.416,17,3,1,76.3,0.5,41.28,9682.14,304.28,63.76,0.135,11.8,24,0,0,23.1,1
26,31,874,0.377,29,2,2,93.0,5.7,63.91,361178.03,8201.99,38.82,0.06,5.9,24,1,0,79.0,1
44,75,460,0.238,14,1,0,29.0,2.0,37.68,174430.41,8700.08,59.1,0.085,5.2,7,1,0,42.9,1
37,45,1437,0.464,2,6,3,78.8,4.6,67.8,423293.39,8704.88,81.18,0.196,6.8,12,0,0,29.1,1
27,4,765,0.228,1,9,3,87.8,2.5,97.14,138407.77,4953.8,26.69,0.409,8.6,0,1,1,46.4,1
17,26,961,0.299,18,10,2,10.5,0.1,82.63,433984.3,363.38,61.04,0.125,6.1,12,0,0,60.8,1
1,45,1258,0.149,23,2,8,11.1,4.6,94.55,188611.73,3653.34,10.53,0.249,11.1,14,1,1,2.6,1
11,57,1487,0.183,6,3,5,69.4,7.0,65.48,468514.28,6944.93,48.69,0.014,18.7,10,1,1,10.0,1
8,28,1445,0.276,27,0,4,96.4,7.6,37.8,447366.61,7440.45,82.16,0.385,9.4,24,0,1,64.1,1
24,49,532,0.202,12,1,0,25.9,1.0,41.17,258556.35,6992.18,23.08,0.415,15.3,13,1,0,0.7,1
11,48,1689,0.288,23,3,8,41.8,0.2,46.85,150109.34,8060.86,73.45,0.301,14.4,5,0,0,62.1,1
41,17,1203,0.335,14,0,6,14.0,3.7,87.98,109311.25,9363.69,11.56,0.378,12.4,30,1,1,24.1,1
2,70,1316,0.266,24,0,4,69.3,7.3,60.42,189686.31,920.4,53.11,0.073,16.1,13,1,1,57.4,1
16,18,1534,0.306,12,3,1,53.0,0.8,66.94,150290.74,2434.55,47.65,0.381,14.3,13,0,1,8.2,1
43,60,911,0.079,3,10,1,80.2,2.9,20.8,113166.39,506.74,47.63,0.236,11.9,25,1,0,49.2,1
3,25,1072,0.056,16,6,6,60.2,4.7,45.45,202246.15,4049.88,65.99,0.244,13.7,4,1,1,24.6,1
17,26,1500,0.237,16,8,6,89.0,7.4,75.56,187501.96,678.04,91.29,0.244,15.4,20,1,1,72.7,1
14,59,1083,0.363,20,8,4,92.1,6.8,95.59,441982.27,3073.73,96.81,0.164,1.2,27,0,1,84.4,1
50,47,1218,0.278,7,8,3,70.0,5.3,98.76,422746.66,1483.86,76.43,0.256,2.9,21,1,1,6.9,1
17,15,1501,0.159,14,10,0,35.9,5.2,5.72,492217.68,5114.22,47.83,0.062,5.3,1,0,1,83.3,1
43,19,1648,0.327,14,8,4,97.4,0.4,7.6,71353.59,2128.41,68.62,0.278,16.1,8,0,1,23.4,1
5,60,718,0.252,3,0,7,68.9,2.2,32.65,151177.03,8748.52,34.5,0.313,17.9,21,0,1,93.0,1
38,73,1436,0.13,27,2,2,71.3,5.8,64.29,431385.44,4083.6,74.69,0.466,0.7,0,1,0,1.7,1
2,61,132,0.071,13,6,5,10.4,0.5,87.91,15674.87,3851.95,14.1,0.238,18.5,7,1,1,65.8,1
6,69,643,0.462,14,2,6,69.1,3.4,57.09,325297.25,2050.91,15.61,0.265,9.9,7,1,1,71.1,1
15,30,1271,0.492,2,7,6,32.3,3.4,33.99,469173.4,8302.71,11.9,0.459,6.6,25,1,0,30.0,1
4,29,1212,0.336,14,0,6,99.6,6.5,41.98,446626.75,3144.98,99.73,0.425,15.0,24,1,0,14.8,1
3,41,310,0.467,2,10,6,4.7,6.7,70.47,330515.3,3670.43,37.04,0.381,15.8,0,1,0,36.3,1
32,36,1116,0.014,20,5,0,75.9,3.0,25.14,354248.36,9737.43,96.93,0.35,3.8,1,1,0,57.0,1
19,14,1004,0.374,22,0,8,95.9,6.0,12.86,168052.65,5146.29,74.78,0.022,13.9,10,1,1,83.4,1
39,3,851,0.407,20,10,7,8.1,4.7,27.93,50913.65,3963.64,65.41,0.067,8.2,30,0,0,48.3,1
33,26,192,0.324,26,0,0,86.7,2.7,51.24,225659.93,5205.92,72.51,0.011,1.5,22,1,0,92.3,1
33,77,40,0.018,19,8,3,76.0,3.3,58.61,179001.58,5859.87,76.63,0.033,11.5,27,1,1,24.7,1
14,76,587,0.447,16,9,8,72.2,5.8,33.07,451572.47,754.15,69.17,0.424,11.4,19,1,1,21.1,1
8,6,1635,0.106,23,1,8,74.8,5.4,16.91,358357.12,6766.22,50.7,0.455,4.1,17,1,1,81.8,1
43,37,312,0.431,21,2,3,7.2,0.7,34.02,99394.44,1524.67,89.26,0.156,14.7,14,0,1,8.6,1
36,19,1901,0.299,20,4,2,90.3,0.4,72.4,310474.91,7635.43,78.69,0.447,9.4,0,0,0,37.7,1
30,9,1956,0.092,18,10,1,97.8,0.3,33.8,428258.55,1788.46,67.7,0.228,6.3,20,0,1,35.1,1
24,54,1463,0.415,13,9,2,54.0,7.9,43.18,192060.63,964.63,92.56,0.302,5.4,13,0,1,76.2,1
44,25,611,0.127,9,1,7,89.1,1.0,42.61,127462.86,1134.53,10.35,0.377,18.8,6,0,0,65.1,1
30,0,267,0.136,17,10,1,7.5,3.4,53.31,222900.08,5186.95,50.51,0.478,4.7,2,0,0,62.5,1
39,53,33,0.044,11,7,6,99.6,1.2,11.4,332491.98,9892.37,41.36,0.339,19.9,14,1,1,99.6,1
30,42,769,0.056,17,9,1,4.6,1.7,91.66,326907.4,7979.9,81.29,0.268,14.8,29,0,1,96.1,1
46,52,1582,0.369,12,10,5,26.7,7.2,1.94,44773.86,2274.46,26.88,0.006,7.1,26,0,1,63.5,1
44,74,943,0.111,14,2,1,43.9,7.4,33.07,113053.14,8623.68,74.93,0.491,8.1,23,0,1,85.9,1
1,27,1568,0.245,25,4,1,5.3,3.6,54.97,407658.93,5219.83,94.77,0.499,0.2,18,1,1,21.8,1
41,14,251,0.257,27,8,8,89.1,7.7,52.05,153630.37,6222.21,14.04,0.44,5.9,17,1,1,43.1,1
33,39,1189,0.462,18,8,8,85.1,5.8,17.58,181956.53,9998.89,22.4,0.324,19.5,7,0,0,38.7,1
39,21,357,0.012,24,10,0,88.3,6.4,64.82,183580.36,3908.03,52.56,0.348,12.4,8,0,0,52.4,1
26,17,1366,0.081,17,2,0,82.8,1.8,69.1,435107.82,4805.27,82.1,0.285,9.7,24,0,0,53.3,1
15,14,1712,0.096,6,4,4,61.1,5.8,37.22,290856.43,2187.79,22.73,0.25,9.7,6,1,0,7.6,1
13,47,68,0.32,29,7,0,95.9,6.8,6.14,121559.28,5530.48,76.28,0.434,1.1,0,0,1,65.9,1
23,41,1711,0.267,17,8,2,55.8,6.0,51.44,213446.69,7484.6,45.4,0.089,10.3,25,0,0,69.3,1
31,18,378,0.032,26,2,1,86.9,7.9,20.81,45350.1,4317.54,44.31,0.106,18.8,8,1,1,64.9,1
13,67,1182,0.167,23,6,7,78.6,0.3,26.47,154181.53,5765.03,42.32,0.106,19.3,27,0,0,59.7,1
18,29,1669,0.282,19,7,3,30.0,1.7,55.74,347667.9,8510.29,50.65,0.068,11.0,18,1,0,35.7,1
42,41,1440,0.478,13,4,5,55.7,3.2,9.28,46019.69,6240.62,65.6,0.003,17.4,26,1,0,63.1,1
45,19,141,0.39,3,3,7,73.4,4.2,91.91,142118.0,6185.74,70.43,0.3,14.8,29,1,1,76.9,1
39,79,1443,0.343,17,2,0,29.1,4.7,22.42,138808.15,4191.64,64.83,0.497,16.9,1,0,1,44.2,1
29,18,57,0.468,25,6,5,51.4,3.4,75.04,207441.45,6898.29,78.52,0.28,1.8,10,1,1,14.7,1
39,35,174,0.048,28,0,1,75.6,6.6,29.63,412100.17,5174.59,63.33,0.366,2.4,6,1,1,22.6,1
39,51,39,0.141,13,7,8,30.4,2.7,99.04,478826.78,968.2,34.91,0.426,11.0,11,0,1,4.4,1
40,9,869,0.136,24,7,6,21.7,1.0,70.57,379369.3,4521.99,12.44,0.46,7.8,22,0,0,18.3,1
7,17,1567,0.052,28,3,5,5.9,2.2,16.43,278547.06,7196.18,38.04,0.093,3.3,16,0,1,62.3,1
2,24,703,0.024,22,10,3,16.6,6.2,69.38,143313.39,4167.85,62.8,0.425,8.3,19,1,1,57.5,1
34,19,1159,0.053,22,4,1,24.2,1.3,32.9,384677.77,4777.88,10.46,0.398,3.0,18,0,0,18.4,1
38,13,1714,0.247,26,5,3,79.0,5.0,27.84,384922.25,7845.46,42.92,0.16,14.7,20,1,1,20.4,1
29,18,1306,0.485,23,5,1,68.0,0.1,40.16,201789.02,8675.14,50.88,0.061,8.4,18,1,0,5.9,1
36,28,1162,0.397,9,2,5,59.8,0.7,34.2,32755.29,2203.56,61.44,0.094,7.4,10,1,1,18.2,1
16,68,1947,0.213,22,6,6,56.2,2.3,88.1,425453.04,5083.63,84.17,0.332,9.9,3,1,0,91.1,1
6,59,852,0.084,19,3,3,94.8,1.7,32.91,179247.35,4184.13,11.2,0.213,19.5,22,1,0,24.7,1
35,35,1030,0.266,28,7,2,81.4,5.0,82.09,407235.5,178.62,71.66,0.37,18.2,19,1,0,71.7,1
40,36,373,0.339,28,7,3,87.8,3.3,6.09,265752.02,1187.03,15.31,0.097,4.4,0,0,0,47.7,1
39,56,1662,0.02,27,4,0,64.9,8.0,80.25,493766.75,5302.92,62.62,0.378,3.8,22,1,1,51.3,1
36,48,1720,0.428,5,10,7,57.1,4.2,24.62,57796.18,1093.94,65.17,0.019,19.1,21,1,1,12.7,1
48,32,803,0.083,15,0,4,18.1,2.9,51.03,117334.75,1624.05,68.03,0.212,6.5,0,0,1,13.9,1
3,29,1098,0.386,29,2,4,61.8,5.5,92.57,448185.17,6211.45,93.56,0.4,5.6,5,1,0,15.3,1
20,4,1047,0.123,2,3,7,77.0,4.1,50.92,395448.4,7338.45,54.69,0.477,2.8,4,0,0,33.4,1
39,53,20,0.386,15,9,5,98.0,5.4,14.65,234196.35,3165.95,52.66,0.327,18.5,10,1,0,11.5,1
37,15,662,0.033,26,8,6,44.3,2.0,91.57,137609.45,7136.22,89.86,0.139,2.4,11,0,1,8.1,1
10,34,617,0.43,3,8,6,69.8,1.7,71.14,412103.29,7610.03,51.89,0.468,7.6,17,0,0,28.0,1
38,47,995,0.054,21,8,7,74.2,0.0,38.02,455578.75,3816.32,64.61,0.206,8.4,28,0,0,73.6,1
40,70,139,0.184,29,7,7,16.1,0.2,14.33,169183.11,7496.55,43.63,0.092,0.6,29,1,0,81.4,1
32,33,101,0.046,9,0,7,9.2,5.6,68.44,381932.01,7550.35,26.12,0.433,12.6,1,1,0,28.4,1
12,26,1148,0.0,16,8,4,44.8,4.4,36.35,154083.14,8605.42,81.12,0.285,4.1,17,1,0,82.2,1
10,7,1357,0.182,28,1,2,9.4,3.0,71.92,132738.2,7926.27,47.04,0.396,14.7,20,1,0,39.0,1
30,73,1524,0.105,10,1,8,3.8,0.3,33.31,373403.32,2856.07,80.78,0.297,7.1,25,1,0,9.7,1
45,75,1498,0.015,18,7,1,22.0,1.3,76.32,247988.78,4672.09,78.93,0.497,15.9,16,0,0,49.4,1
36,24,1599,0.008,26,3,4,78.2,2.6,42.21,280995.27,3437.35,63.75,0.098,11.6,25,0,1,11.4,1
23,75,1542,0.442,4,2,5,4.8,7.3,4.35,339521.97,6107.98,12.7,0.43,9.0,9,1,0,3.8,1
35,23,942,0.433,20,10,6,43.3,6.4,43.77,62859.17,7447.84,58.49,0.429,4.8,24,1,0,22.3,1
50,19,936,0.358,29,2,4,15.9,3.5,88.96,108809.27,5085.96,76.89,0.438,16.3,23,0,0,5.1,1
37,28,1210,0.403,8,7,0,35.1,6.1,34.9,348737.24,4922.25,38.02,0.139,2.5,11,0,1,91.7,1
35,24,1975,0.223,20,2,6,5.6,1.6,96.89,235866.12,8589.53,98.12,0.055,11.9,1,1,1,18.1,1
31,46,527,0.392,16,2,3,78.9,7.6,77.19,423705.34,4151.17,69.8,0.224,0.7,17,0,1,70.7,1
18,2,877,0.498,13,6,1,93.6,5.1,54.31,87397.33,4435.43,19.26,0.01,13.8,27,1,0,64.8,1
27,29,394,0.249,14,8,7,55.2,2.1,57.73,253512.92,9601.43,87.85,0.193,10.9,10,0,1,89.9,1
41,50,1998,0.162,27,3,5,45.3,0.6,33.6,344240.07,4626.83,91.01,0.044,10.3,8,0,1,99.6,1
3,55,516,0.042,17,9,3,65.9,7.4,44.08,439054.95,6944.6,56.55,0.317,4.3,6,0,1,53.7,1
44,80,1109,0.385,5,10,2,86.5,6.4,78.12,52160.51,3330.57,73.39,0.318,10.4,6,1,1,17.0,1
45,34,1022,0.018,15,6,3,42.5,5.5,21.3,76544.49,5007.33,39.97,0.183,10.7,9,1,0,13.6,1
43,0,1037,0.231,23,2,8,81.3,3.3,45.99,260193.67,6280.26,61.57,0.313,3.9,22,0,0,81.4,1
48,40,655,0.483,7,6,2,64.2,2.4,89.98,253768.54,327.07,68.75,0.354,1.1,5,0,1,55.2,1
41,64,570,0.407,20,0,0,25.4,2.4,95.8,12821.46,5425.31,54.5,0.113,7.5,2,1,1,28.3,1
21,79,1304,0.484,18,7,2,30.3,2.4,91.52,248825.07,4159.94,83.89,0.29,9.3,23,1,1,14.9,1
23,47,481,0.109,30,2,1,72.1,5.1,9.69,180209.57,8571.99,33.78,0.127,14.9,4,1,0,14.2,1
13,43,1479,0.26,20,1,4,82.3,0.4,35.74,412326.62,8755.33,83.23,0.083,0.8,22,0,1,65.8,1
44,72,1943,0.057,23,5,5,10.4,7.2,34.51,187035.17,4821.67,52.32,0.367,10.5,30,0,1,43.0,1
2,69,1465,0.281,21,0,2,95.1,3.1,80.43,247434.02,9804.75,85.48,0.214,4.5,23,0,0,80.2,1
20,3,1270,0.376,10,8,3,49.3,1.1,99.94,203921.45,6444.15,44.8,0.012,11.8,8,1,0,21.9,1
33,10,1825,0.324,3,6,3,52.9,5.6,63.38,327640.99,1560.47,12.74,0.381,0.1,0,1,0,20.6,1
48,28,1126,0.486,12,0,7,22.9,2.0,83.45,348053.46,9016.28,19.75,0.43,17.6,11,0,0,53.5,1
28,74,650,0.115,1,10,5,33.4,7.2,39.36,211990.41,2469.3,14.64,0.463,4.3,25,0,0,86.8,1
40,59,1919,0.302,14,10,6,80.3,2.7,87.51,352848.99,3048.67,65.2,0.022,18.9,21,1,0,87.8,1
25,32,737,0.121,25,7,6,22.5,5.3,12.02,387438.57,9803.12,35.74,0.14,3.0,24,0,1,98.1,1
44,57,332,0.428,9,8,8,60.5,0.6,10.3,323583.04,2044.94,82.06,0.464,10.4,15,1,1,57.3,1
3,53,1579,0.284,7,9,2,51.2,5.0,22.42,97932.28,1013.56,28.27,0.202,8.9,4,1,1,42.4,1
10,2,1700,0.407,22,6,4,49.1,6.1,21.21,243999.87,276.7,59.48,0.353,0.1,21,0,1,8.6,1
43,5,1457,0.243,7,8,2,3.2,2.0,69.85,16349.57,7194.42,91.02,0.046,14.6,23,1,1,82.1,1
45,77,81,0.033,28,5,5,9.3,2.7,25.85,187805.28,3140.15,25.68,0.009,15.4,17,1,0,19.6,1
50,34,107,0.495,20,9,1,96.2,6.1,12.77,108230.82,5063.99,41.48,0.465,14.2,15,0,1,28.5,1
26,68,1175,0.383,12,3,5,91.0,3.2,89.18,266982.89,141.5,48.72,0.01,15.2,23,1,1,40.0,1
5,78,1483,0.475,15,7,7,35.0,1.1,68.71,178479.66,5179.52,49.86,0.083,7.8,1,1,1,2.7,1
45,36,859,0.347,27,1,1,97.7,2.3,80.76,309031.74,540.76,42.31,0.437,16.7,18,1,1,8.9,1
20,17,1376,0.202,6,8,7,46.2,5.4,82.75,274149.05,6225.4,45.53,0.243,13.6,23,0,1,26.9,1
17,3,1339,0.062,3,8,4,92.9,0.8,59.88,42467.69,6366.12,50.51,0.487,0.4,28,0,0,29.8,1
39,37,78,0.013,15,3,6,45.6,1.2,79.81,201147.1,9176.94,53.82,0.38,17.3,11,1,0,70.5,1
10,26,945,0.395,20,10,4,22.9,5.3,26.41,156794.6,1681.75,77.17,0.025,9.5,30,1,0,17.1,1
32,74,1889,0.168,8,3,7,69.6,0.2,51.9,154776.18,5599.46,44.41,0.046,10.2,22,0,1,92.1,1
9,26,862,0.424,4,2,8,48.9,3.9,61.27,63570.12,1584.31,80.79,0.366,2.6,15,0,0,78.6,1
31,15,1879,0.387,22,2,2,96.3,0.2,13.89,25076.72,5034.86,99.83,0.02,13.0,10,1,1,99.9,1
25,29,1770,0.346,22,0,8,38.4,4.0,22.43,81915.53,3781.35,20.14,0.321,1.4,15,0,0,29.9,1
31,14,1677,0.092,24,0,5,4.0,4.4,81.41,402592.42,8137.69,87.35,0.353,9.4,8,1,1,70.7,1
41,14,456,0.016,12,10,4,42.0,1.6,79.72,452245.9,6908.73,12.97,0.317,8.5,12,0,1,68.2,1
2,62,1990,0.324,22,1,2,9.2,3.5,21.12,413802.12,5876.44,29.44,0.043,5.8,23,0,1,93.3,1
18,57,780,0.269,26,1,2,7.9,7.5,13.93,322094.85,535.39,18.81,0.089,14.4,28,0,0,46.5,1
6,73,625,0.302,8,4,5,53.8,3.4,24.37,141626.37,3092.4,37.28,0.497,18.7,24,1,0,2.3,1
25,18,1296,0.471,19,10,8,73.1,5.8,67.24,85796.85,6785.83,15.91,0.102,6.0,12,1,1,7.1,1
18,21,121,0.46,3,3,1,6.4,4.3,62.26,162180.54,9267.9,94.28,0.0,3.8,4,0,1,4.0,1
25,32,101,0.473,21,4,2,80.8,5.0,19.63,139204.99,4944.63,78.74,0.137,18.4,7,0,1,52.8,1
21,24,1222,0.222,18,3,5,97.2,7.2,39.48,296235.64,1643.49,17.79,0.329,2.9,6,1,0,32.5,1
9,52,1155,0.107,10,9,2,71.6,6.1,20.18,306793.4,7588.93,14.56,0.181,16.7,14,1,0,25.7,1
25,57,280,0.404,10,8,2,34.8,5.6,10.8,243956.94,6819.57,56.42,0.081,14.9,25,0,0,96.3,1
44,49,695,0.044,17,10,1,22.7,1.1,26.85,55684.52,8328.66,81.23,0.155,1.5,24,1,1,73.9,1
33,57,1655,0.408,2,3,4,74.2,7.3,65.85,373454.36,1830.42,96.86,0.386,4.2,2,0,1,21.3,1
1,51,1270,0.49,14,6,6,97.9,2.6,76.18,394037.38,2732.51,25.6,0.208,5.9,9,0,0,46.9,1
18,80,806,0.392,22,0,7,12.5,4.6,75.99,55464.13,419.88,41.44,0.461,4.0,12,0,1,45.3,1
8,71,377,0.486,17,0,4,28.3,0.0,81.65,171729.59,9254.44,99.34,0.053,3.3,14,0,0,9.2,1
36,9,1047,0.479,24,0,5,41.4,5.8,29.53,235542.01,3136.88,38.26,0.024,15.0,9,0,1,47.8,1
26,12,1838,0.161,11,5,8,63.8,0.3,43.95,170077.83,1260.6,73.96,0.255,16.6,3,1,0,96.4,1
8,26,1037,0.244,16,8,8,4.9,5.7,59.71,5135.13,1305.28,54.12,0.155,2.0,12,1,0,78.2,1
28,73,1410,0.053,21,8,1,95.7,4.7,84.74,149880.51,943.87,31.8,0.067,17.4,19,0,0,79.8,1
45,65,882,0.178,12,0,6,12.9,4.6,36.86,360379.18,9786.2,38.45,0.183,16.6,10,1,0,81.9,1
2,49,1982,0.178,13,8,8,98.5,0.3,16.81,33703.98,6944.68,73.01,0.499,2.7,2,0,1,96.7,1
28,22,303,0.263,3,4,3,74.2,5.3,95.44,434888.94,2759.58,82.84,0.392,14.7,3,1,0,65.6,1
29,58,1420,0.297,9,9,7,15.7,5.5,14.32,423255.91,5120.39,64.95,0.119,16.4,21,1,1,82.9,1
23,67,1975,0.011,12,7,3,86.0,6.7,43.86,164329.01,8407.11,25.86,0.129,9.7,9,1,0,11.4,1
16,51,54,0.404,17,9,1,95.1,7.3,99.83,29956.76,944.8,11.84,0.188,19.9,30,1,1,58.7,1
3,41,1512,0.421,24,6,6,38.2,2.9,78.58,116076.77,5496.01,63.78,0.32,18.5,22,1,1,18.7,1
38,53,1195,0.177,19,6,1,91.8,5.6,10.22,70764.65,2122.92,12.18,0.417,6.5,10,0,0,3.3,1
17,78,718,0.141,12,10,5,82.2,7.2,96.45,210325.04,9350.88,57.74,0.372,10.3,8,1,1,41.7,1
20,2,1978,0.048,18,7,1,55.6,3.7,60.57,463713.12,5715.74,74.47,0.352,8.5,14,0,1,89.3,1
15,26,1967,0.162,9,8,8,69.7,6.6,44.18,338174.71,9179.38,27.55,0.417,3.1,3,0,1,67.8,1
35,19,1936,0.023,4,7,5,64.0,5.1,92.26,251515.35,1056.53,75.71,0.423,12.7,30,1,0,9.2,1
35,70,685,0.183,2,7,7,7.9,1.4,84.85,357839.88,6960.4,34.33,0.345,12.8,1,1,1,48.7,1
25,33,262,0.446,15,2,0,64.8,2.5,15.68,148482.38,4314.6,35.65,0.447,0.8,8,1,1,20.0,1
47,29,43,0.367,12,5,7,98.6,2.0,28.16,203778.65,3013.57,21.29,0.353,15.3,4,0,0,35.5,1
21,2,910,0.315,14,8,1,98.9,6.3,4.67,71861.55,7924.34,54.73,0.223,15.4,17,0,0,6.4,1
5,30,1388,0.337,9,4,1,23.7,4.0,25.54,78495.78,537.99,81.12,0.28,0.8,24,0,0,3.9,1
2,43,193,0.464,11,1,7,6.3,6.8,68.79,171614.53,9500.96,56.6,0.176,0.8,27,1,1,68.2,1
17,39,910,0.482,23,3,3,6.3,6.9,99.83,264597.8,9878.27,97.11,0.007,16.6,18,1,0,91.8,1
17,1,91,0.425,8,4,1,39.3,3.9,38.59,344233.89,175.33,69.39,0.046,5.1,4,1,1,1.1,1
23,31,1782,0.428,7,8,4,82.3,4.7,3.83,138773.85,6985.01,90.6,0.139,13.9,9,0,0,92.5,1
37,31,316,0.021,17,1,5,70.4,4.7,23.67,329527.09,7039.68,76.4,0.427,8.5,8,1,0,68.1,1
50,14,1823,0.277,8,7,8,98.9,7.1,94.79,251806.71,7722.28,31.89,0.18,5.3,0,0,0,31.6,1
38,57,1533,0.317,22,1,3,94.4,7.6,31.0,104981.22,1839.76,48.81,0.122,19.0,21,1,1,49.8,1
24,79,1060,0.274,27,0,3,32.8,6.5,45.12,386559.52,8851.2,23.2,0.367,13.3,20,0,0,66.6,1
13,7,516,0.375,20,3,3,42.6,7.6,42.98,143490.35,5227.15,16.63,0.423,2.7,5,0,1,91.2,1
9,75,1758,0.198,2,8,5,31.4,2.2,82.04,57758.78,2552.57,98.42,0.273,9.7,0,1,0,0.5,1
50,62,783,0.355,6,3,5,95.2,1.6,93.65,51160.72,7427.51,85.69,0.438,7.9,10,1,1,77.4,1
30,12,227,0.451,12,2,1,25.2,3.9,95.95,375716.42,1220.2,74.17,0.01,7.2,20,1,0,55.1,1
41,36,1106,0.337,30,4,6,92.4,3.6,72.22,340566.95,7991.53,91.25,0.199,3.9,20,1,0,25.9,1
32,50,1021,0.143,27,0,1,54.2,5.5,23.74,57700.48,9227.16,61.64,0.067,4.7,14,1,1,10.1,1
24,50,1143,0.06,10,4,6,66.2,1.9,46.63,107924.88,3575.38,71.0,0.199,3.8,27,0,0,85.4,1
8,24,1943,0.256,26,9,1,52.9,5.6,30.98,459567.52,5898.36,47.98,0.304,2.0,16,1,1,4.4,1
42,67,35,0.364,2,1,0,8.9,3.0,43.29,117510.2,2393.43,44.87,0.127,8.9,24,1,0,52.1,1
18,35,182,0.134,5,5,0,16.0,4.1,14.67,153747.45,1425.83,11.26,0.118,0.6,1,0,1,58.4,1
13,22,1218,0.486,28,3,7,12.0,7.9,55.58,316825.39,5777.06,86.72,0.372,2.0,20,1,1,48.0,1
24,59,341,0.123,16,6,5,59.5,4.3,5.17,326949.81,4810.96,64.3,0.156,7.4,28,1,0,47.5,1
5,80,111,0.416,30,2,6,55.5,2.9,82.72,174635.84,3560.52,31.59,0.101,11.6,16,1,1,12.5,1
6,73,1996,0.041,12,4,0,82.7,7.5,48.77,172684.76,2545.23,94.64,0.208,0.1,13,0,1,89.9,1
49,7,1524,0.218,11,1,3,67.9,5.1,41.34,270384.49,305.12,73.4,0.367,2.8,2,1,1,91.4,1
20,19,1155,0.035,26,8,7,50.1,5.1,49.79,420641.58,1390.49,62.77,0.305,2.4,16,0,1,34.2,1
45,76,27,0.254,6,9,7,43.0,0.5,4.26,419134.7,9119.97,12.17,0.151,15.6,16,1,1,63.9,1
46,78,421,0.181,23,1,7,33.7,6.4,12.83,10296.6,5906.53,82.96,0.359,4.0,5,1,0,31.5,1
19,43,1865,0.222,9,9,1,18.9,4.1,9.93,195003.78,2277.2,66.89,0.026,13.9,28,0,1,34.1,1
22,64,1097,0.24,7,6,8,36.1,5.9,97.93,261669.94,2306.08,24.76,0.109,19.7,28,1,0,79.9,1
25,18,479,0.099,3,9,7,42.9,2.1,1.44,2106.65,3593.91,72.82,0.297,14.8,11,1,0,63.5,1
36,24,1966,0.166,4,10,0,6.0,7.3,46.83,284568.71,3814.29,76.28,0.122,14.5,19,0,0,94.8,1
14,43,1297,0.25,19,8,2,56.5,0.5,48.84,267441.91,5152.15,98.99,0.049,8.5,27,0,1,57.8,1
39,59,1071,0.399,30,3,6,30.4,2.1,98.23,396633.28,7384.64,55.3,0.482,8.8,2,0,1,27.6,1
40,1,1065,0.006,11,10,6,4.0,4.9,54.85,214980.04,214.36,84.18,0.352,11.6,9,0,0,13.4,1
16,43,1169,0.319,2,5,4,5.9,7.2,21.79,122582.6,6736.46,26.06,0.328,11.4,2,0,0,35.7,1
12,3,955,0.163,13,4,5,83.4,3.2,32.99,281922.23,1061.33,86.27,0.438,11.6,0,1,0,71.2,1
11,49,1114,0.158,19,8,1,41.3,3.8,76.18,440163.69,5709.55,84.18,0.402,0.6,10,0,0,16.9,1
14,6,1616,0.467,2,10,6,19.5,6.1,76.99,278260.72,9695.46,95.22,0.407,16.1,29,0,0,0.7,1
35,50,107,0.251,11,2,4,88.0,0.6,31.77,367499.61,6529.54,18.47,0.452,10.8,29,0,1,51.0,1
1,46,336,0.266,22,0,0,76.9,0.8,97.04,147350.03,2138.38,97.47,0.113,13.5,28,1,1,65.6,1
26,15,671,0.378,20,8,1,92.1,3.5,66.29,31755.49,7144.18,55.5,0.153,13.9,17,0,0,12.6,1
9,4,1481,0.377,21,7,3,28.5,1.5,85.62,310878.3,7790.25,18.52,0.049,5.0,22,0,1,57.2,1
40,24,661,0.232,17,10,7,40.5,5.3,21.8,324790.44,278.72,41.17,0.085,10.1,25,0,0,53.0,1
42,47,1030,0.282,22,7,7,9.6,6.7,54.26,143355.71,2941.8,66.25,0.415,13.2,4,0,0,33.5,1
3,31,941,0.122,11,0,5,79.0,0.3,49.38,412669.68,8745.89,91.81,0.352,13.0,16,1,1,79.0,1
40,78,149,0.291,3,2,4,38.2,5.9,72.12,29117.09,709.28,58.7,0.284,14.9,6,1,0,50.5,1
3,6,1839,0.048,12,10,6,41.3,3.6,50.41,100573.54,7949.51,72.33,0.068,7.1,7,1,1,39.0,1
23,30,1742,0.237,23,9,3,74.8,1.1,69.98,214833.75,1597.21,84.58,0.462,15.4,6,1,1,53.1,1
44,79,1415,0.431,28,6,8,79.1,0.0,19.6,448160.91,7944.44,41.02,0.169,18.0,17,0,0,40.8,1
25,74,15,0.212,18,7,2,24.2,3.1,65.28,229213.64,1846.21,29.96,0.16,15.8,26,0,0,95.5,1
3,34,1329,0.441,1,9,8,38.8,7.4,44.78,490424.72,78.04,35.81,0.33,5.2,15,1,0,93.8,1
